distance,elevation,from,to
230.43942768770975,628,TA00025,TA00076
214.05577975050952,33,TA00025,TA00077
170.31317428259314,293,TA00026,TA00020
160.555028375523,-10,TA00026,TA00021
312.81044395411044,1145,TA00026,TA00023
130.72998098454153,416,TA00026,TA00024
130.52986956135584,138,TA00026,TA00025
169.8002899295116,329,TA00026,TA00027
114.34292353402739,-80,TA00026,TA00028
52.15475254473681,-587,TA00026,TA00029
94.95689840515132,14,TA00026,TA00030
49.333905520934906,-572,TA00026,TA00054
118.75506967694723,560,TA00026,TA00056
131.7635453946992,300,TA00026,TA00057
102.73152760849779,-32,TA00026,TA00061
202.41522966319272,215,TA00026,TA00064
165.66031748138877,370,TA00026,TA00065
121.78388978077929,-60,TA00026,TA00066
232.56843383112405,752,TA00026,TA00067
581.8023071751796,1804,TA00026,TA00068
583.9323194657047,1881,TA00026,TA00069
571.6613907817143,1693,TA00026,TA00070
592.2836705677067,1913,TA00026,TA00071
572.5824673592523,1922,TA00026,TA00072
88.24961250817367,96,TA00026,TA00073
105.24304977746318,214,TA00026,TA00074
135.14158174177874,766,TA00026,TA00076
122.95424707201283,171,TA00026,TA00077
210.2843790856768,-36,TA00027,TA00020
286.6613856514238,-339,TA00027,TA00021
275.9434984267915,816,TA00027,TA00023
143.29827641372086,87,TA00027,TA00024
181.55630019755537,-191,TA00027,TA00025
169.8002899295116,-329,TA00027,TA00026
57.12971714517046,-409,TA00027,TA00028
134.37464420664,-916,TA00027,TA00029
234.61365035998372,-315,TA00027,TA00030
216.94453170593258,-901,TA00027,TA00054
104.11103704833413,231,TA00027,TA00056
171.25251696523625,-29,TA00027,TA00057
271.9804122056744,-361,TA00027,TA00061
338.038200098846,-114,TA00027,TA00064
321.58229970024314,41,TA00027,TA00065
184.4918207406833,-389,TA00027,TA00066
206.48517494180913,423,TA00027,TA00067
531.6792482049814,1475,TA00027,TA00068
534.6350201294213,1552,TA00027,TA00069
522.4745656859111,1364,TA00027,TA00070
542.4194047777297,1584,TA00027,TA00071
511.41476282146306,1593,TA00027,TA00072
81.7243145720196,-233,TA00027,TA00073
95.29361624151379,-115,TA00027,TA00074
302.8913492965095,437,TA00027,TA00076
292.01111722455744,-158,TA00027,TA00077
191.51777816664946,373,TA00028,TA00020
232.8282347468213,70,TA00028,TA00021
288.532199011127,1225,TA00028,TA00023
124.75697721860134,496,TA00028,TA00024
155.79611996349624,218,TA00028,TA00025
114.34292353402739,80,TA00028,TA00026
57.12971714517046,409,TA00028,TA00027
86.66242071944849,-507,TA00028,TA00029
188.20510055412274,94,TA00028,TA00030
160.3939384522833,-492,TA00028,TA00054
85.36059352040195,640,TA00028,TA00056
147.91684612882383,380,TA00028,TA00057
215.64703169167328,48,TA00028,TA00061
283.501113276484,295,TA00028,TA00064
264.7146191357068,450,TA00028,TA00065
155.30539040463736,20,TA00028,TA00066
211.3495271407341,832,TA00028,TA00067
553.7920291805558,1884,TA00028,TA00068
556.4986862239607,1961,TA00028,TA00069
544.182288963953,1773,TA00028,TA00070
564.5465401798605,1993,TA00028,TA00071
537.0434157250306,2002,TA00028,TA00072
26.672068903259483,176,TA00028,TA00073
68.48411391348992,294,TA00028,TA00074
246.07673531247212,846,TA00028,TA00076
235.5508088959454,251,TA00028,TA00077
131.75102108072093,880,TA00029,TA00020
210.49411168323024,577,TA00029,TA00021
264.872677478103,1732,TA00029,TA00023
81.38836864017894,1003,TA00029,TA00024
